Mechanical & Extracellular Stress		
This table was generated by retriving a list of proteins related to Mechanotransduction and Focal Adhesion found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	angiotensin-activated signaling pathway [GO:0038166]; bone resorption [GO:0045453]; branching involved in mammary gland duct morphogenesis [GO:0060444]; canonical glycolysis [GO:0061621]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; cellular response to fluid shear stress [GO:0071498]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to progesterone stimulus [GO:0071393]; cellular response to reactive oxygen species [GO:0034614]; ephrin receptor signaling pathway [GO:0048013]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERBB2 signaling pathway [GO:0038128]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; focal adhesion assembly [GO:0048041]; forebrain development [GO:0030900]; integrin-mediated signaling pathway [GO:0007229]; interleukin-6-mediated signaling pathway [GO:0070102]; intestinal epithelial cell development [GO:0060576]; intracellular signal transduction [GO:0035556]; leukocyte migration [GO:0050900]; macroautophagy [GO:0016236]; negative regulation of anoikis [GO:2000811]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of hippo signaling [GO:0035331]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of mitochondrial depolarization [GO:0051902]; negative regulation of neutrophil activation [GO:1902564]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of telomere maintenance [GO:0032205]; negative regulation of transcription by RNA polymerase II [GO:0000122]; odontogenesis [GO:0042476]; oogenesis [GO:0048477]; osteoclast development [GO:0036035]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet activation [GO:0030168]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of dephosphorylation [GO:0035306]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glycolytic process [GO:0045821]; positive regulation of integrin activation [GO:0033625]; positive regulation of lamellipodium morphogenesis [GO:2000394]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of platelet-derived growth factor receptor-beta signaling pathway [GO:2000588]; positive regulation of podosome assembly [GO:0071803]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein processing [GO:0010954]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of small GTPase mediated signal transduction [GO:0051057]; positive regulation of TORC1 signaling [GO:1904263]; progesterone receptor signaling pathway [GO:0050847]; protein destabilization [GO:0031648]; regulation of bone resorption [GO:0045124]; regulation of caveolin-mediated endocytosis [GO:2001286]; regulation of cell projection assembly [GO:0060491]; regulation of cell-cell adhesion [GO:0022407]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of epithelial cell migration [GO:0010632]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of intracellular estrogen receptor signaling pathway [GO:0033146]; regulation of toll-like receptor 3 signaling pathway [GO:0034139]; regulation of vascular permeability [GO:0043114]; response to interleukin-1 [GO:0070555]; signal complex assembly [GO:0007172]; signal transduction [GO:0007165]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress fiber assembly [GO:0043149]; substrate adhesion-dependent cell spreading [GO:0034446]; symbiont entry into host cell [GO:0046718]; T cell costimulation [GO:0031295]; transforming growth factor beta receptor signaling pathway [GO:0007179]; uterus development [GO:0060065]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vasodilation [GO:0042311]
Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) (Serine/threonine-protein kinase Krs-1) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]	STK3 KRS1 MST2	apoptotic process [GO:0006915]; canonical Wnt signaling pathway [GO:0060070]; cell differentiation involved in embryonic placenta development [GO:0060706]; central nervous system development [GO:0007417]; endocardium development [GO:0003157]; epithelial cell proliferation [GO:0050673]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; hepatocyte apoptotic process [GO:0097284]; hippo signaling [GO:0035329]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell growth involved in contact inhibition [GO:0060243]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of organ growth [GO:0046621]; neural tube formation [GO:0001841]; organ growth [GO:0035265]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of apoptotic process [GO:0043065]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hippo signaling [GO:0035332]; positive regulation of JNK cascade [GO:0046330]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; primitive hemopoiesis [GO:0060215]; protein import into nucleus [GO:0006606]; protein localization to centrosome [GO:0071539]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; protein tetramerization [GO:0051262]; regulation of cell differentiation involved in embryonic placenta development [GO:0060800]; regulation of MAPK cascade [GO:0043408]
Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)]	STK4 KRS2 MST1	apoptotic process [GO:0006915]; branching involved in blood vessel morphogenesis [GO:0001569]; canonical Wnt signaling pathway [GO:0060070]; cell differentiation involved in embryonic placenta development [GO:0060706]; cell morphogenesis [GO:0000902]; central nervous system development [GO:0007417]; endocardium development [GO:0003157]; epithelial cell proliferation [GO:0050673]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; hepatocyte apoptotic process [GO:0097284]; hippo signaling [GO:0035329]; intracellular signal transduction [GO:0035556]; keratinocyte differentiation [GO:0030216]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of organ growth [GO:0046621]; neural tube formation [GO:0001841]; organ growth [GO:0035265]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of apoptotic process [GO:0043065]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of hepatocyte apoptotic process [GO:1903945]; positive regulation of hippo signaling [GO:0035332]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of substrate-dependent cell migration, cell attachment to substrate [GO:1904237]; primitive hemopoiesis [GO:0060215]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; protein tetramerization [GO:0051262]; regulation of cell differentiation involved in embryonic placenta development [GO:0060800]; regulation of MAPK cascade [GO:0043408]; signal transduction [GO:0007165]
Striatin-4 (Zinedin)	STRN4 ZIN	negative regulation of hippo signaling [GO:0035331]; regulation of modification of postsynaptic structure [GO:0099159]
T-box transcription factor TBX5 (T-box protein 5)	TBX5	atrial septum morphogenesis [GO:0060413]; atrioventricular bundle cell differentiation [GO:0003167]; atrioventricular node cell development [GO:0060928]; atrioventricular node cell fate commitment [GO:0060929]; atrioventricular valve morphogenesis [GO:0003181]; bundle of His cell to Purkinje myocyte communication by electrical coupling [GO:0086054]; bundle of His development [GO:0003166]; cardiac left ventricle formation [GO:0003218]; cardiac muscle cell proliferation [GO:0060038]; cell fate specification [GO:0001708]; cell migration involved in coronary vasculogenesis [GO:0060980]; cell-cell signaling [GO:0007267]; embryonic forelimb morphogenesis [GO:0035115]; embryonic limb morphogenesis [GO:0030326]; endocardial cushion development [GO:0003197]; forelimb morphogenesis [GO:0035136]; heart development [GO:0007507]; lung development [GO:0030324]; morphogenesis of an epithelium [GO:0002009]; negative regulation of cardiac muscle cell proliferation [GO:0060044]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; pattern specification process [GO:0007389]; pericardium development [GO:0060039]; positive regulation of cardiac conduction [GO:1903781]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cardioblast differentiation [GO:0051891]; positive regulation of cell communication by electrical coupling involved in cardiac conduction [GO:1901846]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gap junction assembly [GO:1903598]; positive regulation of secondary heart field cardioblast proliferation [GO:0072513]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of atrial cardiac muscle cell membrane depolarization [GO:0060371]; regulation of transcription by RNA polymerase II [GO:0006357]; sinoatrial node development [GO:0003163]; transcription by RNA polymerase II [GO:0006366]; ventricular septum development [GO:0003281]
Transcriptional enhancer factor TEF-1 (NTEF-1) (Protein GT-IIC) (TEA domain family member 1) (TEAD-1) (Transcription factor 13) (TCF-13)	TEAD1 TCF13 TEF1	embryonic organ development [GO:0048568]; hippo signaling [GO:0035329]; positive regulation of cell growth [GO:0030307]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-containing complex assembly [GO:0065003]; regulation of transcription by RNA polymerase II [GO:0006357]
Transcriptional enhancer factor TEF-4 (TEA domain family member 2) (TEAD-2)	TEAD2 TEF4	cellular response to retinoic acid [GO:0071300]; embryonic heart tube morphogenesis [GO:0003143]; embryonic organ development [GO:0048568]; hippo signaling [GO:0035329]; lateral mesoderm development [GO:0048368]; neural tube closure [GO:0001843]; notochord development [GO:0030903]; paraxial mesoderm development [GO:0048339]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-containing complex assembly [GO:0065003]; regulation of DNA-templated transcription [GO:0006355]; regulation of stem cell differentiation [GO:2000736]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]; vasculogenesis [GO:0001570]
Transcriptional enhancer factor TEF-3 (TEA domain family member 4) (TEAD-4) (Transcription factor 13-like 1) (Transcription factor RTEF-1)	TEAD4 RTEF1 TCF13L1 TEF3	cell fate specification [GO:0001708]; DNA-templated transcription [GO:0006351]; embryo implantation [GO:0007566]; embryonic organ development [GO:0048568]; hippo signaling [GO:0035329]; muscle organ development [GO:0007517]; positive regulation of stem cell population maintenance [GO:1902459]; regulation of transcription by RNA polymerase II [GO:0006357]; skeletal system development [GO:0001501]; trophectodermal cell fate commitment [GO:0001830]
Tight junction protein 2 (Tight junction protein ZO-2) (Zona occludens protein 2) (Zonula occludens protein 2)	TJP2 X104 ZO2	cell-cell adhesion [GO:0098609]; cell-cell junction organization [GO:0045216]; establishment of endothelial intestinal barrier [GO:0090557]; homotypic cell-cell adhesion [GO:0034109]; intestinal absorption [GO:0050892]; maintenance of blood-brain barrier [GO:0035633]; positive regulation of blood-brain barrier permeability [GO:1905605]; protein localization to cell-cell junction [GO:0150105]; regulation of membrane permeability [GO:0090559]
Transmembrane channel-like protein 5	TMC5 UNQ8238/PRO33604	
Transmembrane protein 139	TMEM139 UNQ1932/PRO4407	
Mechanosensitive cation channel TMEM63B (Transmembrane protein 63B) (hTMEM63B)	TMEM63B C6orf110	drinking behavior [GO:0042756]; exocytosis [GO:0006887]; intestinal stem cell homeostasis [GO:0036335]; sensory perception of sound [GO:0007605]; surfactant secretion [GO:0160069]
TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)	TNIK KIAA0551	actin cytoskeleton organization [GO:0030036]; cytoskeleton organization [GO:0007010]; intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; neuron projection morphogenesis [GO:0048812]; positive regulation of JNK cascade [GO:0046330]; positive regulation of microvillus assembly [GO:1903698]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of dendrite morphogenesis [GO:0048814]; regulation of MAPK cascade [GO:0043408]; Wnt signaling pathway [GO:0016055]
