Protein Names	Gene Names	Gene Ontology	Supporting_PMID	Stress_Type	Paper_Count
Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer)	AGO2 EIF2C2	miRNA metabolic process [GO:0010586]; miRNA processing [GO:0035196]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; miRNA-mediated gene silencing by mRNA destabilization [GO:0035279]; negative regulation of amyloid precursor protein biosynthetic process [GO:0042985]; negative regulation of translational initiation [GO:0045947]; P-body assembly [GO:0033962]; positive regulation of angiogenesis [GO:0045766]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of trophoblast cell migration [GO:1901165]; post-embryonic development [GO:0009791]; pre-miRNA processing [GO:0031054]; regulation of synapse maturation [GO:0090128]; regulatory ncRNA-mediated gene silencing [GO:0031047]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194]; RISC complex assembly [GO:0070922]; RNA stabilization [GO:0043489]; siRNA processing [GO:0030422]; siRNA-mediated gene silencing by mRNA destabilization [GO:0090625]; translation [GO:0006412]	42062253.0	Proteasomal Stress	35
E3 ubiquitin-protein ligase TRAIP (EC 2.3.2.27) (RING finger protein 206) (TRAF-interacting protein)	TRAIP RNF206 TRIP	apoptotic process [GO:0006915]; DNA damage response [GO:0006974]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; protein ubiquitination [GO:0016567]; protein-DNA covalent cross-linking repair [GO:0106300]; replication fork processing [GO:0031297]; signal transduction [GO:0007165]	41942828.0	Proteasomal Stress	34
E3 SUMO-protein ligase PIAS4 (EC 2.3.2.27) (PIASy) (Protein inhibitor of activated STAT protein 4) (Protein inhibitor of activated STAT protein gamma) (PIAS-gamma)	PIAS4 PIASG	central nervous system development [GO:0007417]; double-strand break repair [GO:0006302]; hair follicle development [GO:0001942]; limb epidermis development [GO:0060887]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of protein localization to chromatin [GO:0120186]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231]; positive regulation of keratinocyte apoptotic process [GO:1902174]; positive regulation of protein sumoylation [GO:0033235]; protein sumoylation [GO:0016925]; regulation of mRNA stability [GO:0043488]; regulation of transcription by RNA polymerase II [GO:0006357]; vitamin D metabolic process [GO:0042359]; Wnt signaling pathway [GO:0016055]	41626766.0	Proteasomal Stress	34
TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich domain associated with RING and Traf domains protein 1) (Metastatic lymph node gene 62 protein) (MLN 62) (RING finger protein 83)	TRAF4 CART1 MLN62 RNF83	apoptotic process [GO:0006915]; cell surface receptor signaling pathway [GO:0007166]; innate immune response [GO:0045087]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein kinase activity [GO:0045860]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of apoptotic process [GO:0042981]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; respiratory gaseous exchange by respiratory system [GO:0007585]; respiratory tube development [GO:0030323]	38229144.0	Proteasomal Stress	33
E3 ubiquitin-protein ligase RFWD3 (EC 2.3.2.27) (RING finger and WD repeat domain-containing protein 3) (RING finger protein 201)	RFWD3 RNF201	DNA damage response [GO:0006974]; double-strand break repair via homologous recombination [GO:0000724]; interstrand cross-link repair [GO:0036297]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; protein ubiquitination [GO:0016567]; regulation of DNA damage checkpoint [GO:2000001]; replication fork processing [GO:0031297]; response to ionizing radiation [GO:0010212]	40940676.0	Proteasomal Stress	32
E3 ubiquitin-protein ligase TRIM8 (EC 2.3.2.27) (Glioblastoma-expressed RING finger protein) (RING finger protein 27) (RING-type E3 ubiquitin transferase TRIM8) (Tripartite motif-containing protein 8)	TRIM8 GERP RNF27	canonical NF-kappaB signal transduction [GO:0007249]; host-mediated suppression of symbiont invasion [GO:0046597]; innate immune response [GO:0045087]; negative regulation of viral transcription [GO:0032897]; positive regulation of autophagy [GO:0010508]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of protein localization to nucleus [GO:1900182]; protein K63-linked ubiquitination [GO:0070534]; stem cell population maintenance [GO:0019827]; suppression of viral release by host [GO:0044790]	41184227.0	Proteasomal Stress	32
Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	actin cytoskeleton organization [GO:0030036]; actin filament polymerization [GO:0030041]; activated T cell proliferation [GO:0050798]; alpha-beta T cell differentiation [GO:0046632]; associative learning [GO:0008306]; autophagy [GO:0006914]; B cell proliferation involved in immune response [GO:0002322]; B cell receptor signaling pathway [GO:0050853]; B-1 B cell homeostasis [GO:0001922]; Bergmann glial cell differentiation [GO:0060020]; BMP signaling pathway [GO:0030509]; canonical NF-kappaB signal transduction [GO:0007249]; cardiac muscle cell proliferation [GO:0060038]; cell-cell adhesion [GO:0098609]; cellular response to dopamine [GO:1903351]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidative stress [GO:0034599]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular senescence [GO:0090398]; cerebellum morphogenesis [GO:0021587]; DN4 thymocyte differentiation [GO:1904157]; DNA conformation change [GO:0071103]; DNA damage response [GO:0006974]; endothelial cell migration [GO:0043542]; ephrin receptor signaling pathway [GO:0048013]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERK1 and ERK2 cascade [GO:0070371]; establishment of localization in cell [GO:0051649]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; integrin-mediated signaling pathway [GO:0007229]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; microspike assembly [GO:0030035]; mismatch repair [GO:0006298]; mitochondrial depolarization [GO:0051882]; mitotic cell cycle [GO:0000278]; myoblast proliferation [GO:0051450]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of cellular senescence [GO:2000773]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; neural tube closure [GO:0001843]; neuroepithelial cell differentiation [GO:0060563]; neuromuscular process controlling balance [GO:0050885]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; neuropilin signaling pathway [GO:0038189]; phospholipase C-inhibiting G protein-coupled receptor signaling pathway [GO:0030845]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; podocyte apoptotic process [GO:1903210]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel branching [GO:1905555]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendrite development [GO:1900006]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of establishment of T cell polarity [GO:1903905]; positive regulation of extracellular matrix organization [GO:1903055]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of osteoblast proliferation [GO:0033690]; positive regulation of phospholipase C/protein kinase C signal transduction [GO:0141214]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of T cell migration [GO:2000406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type II interferon production [GO:0032729]; positive regulation of vasoconstriction [GO:0045907]; positive regulation of Wnt signaling pathway, planar cell polarity pathway [GO:2000096]; post-embryonic development [GO:0009791]; protein localization to cytoplasmic microtubule plus-end [GO:1904518]; protein modification process [GO:0036211]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of autophagy [GO:0010506]; regulation of axon extension [GO:0030516]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of cell adhesion [GO:0030155]; regulation of cell cycle [GO:0051726]; regulation of cell motility [GO:2000145]; regulation of DNA-templated transcription [GO:0006355]; regulation of endocytosis [GO:0030100]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of microtubule polymerization [GO:0031113]; regulation of modification of synaptic structure [GO:1905244]; regulation of postsynaptic specialization assembly [GO:0099150]; regulation of T cell differentiation [GO:0045580]; response to endoplasmic reticulum stress [GO:0034976]; response to epinephrine [GO:0071871]; response to oxidative stress [GO:0006979]; response to xenobiotic stimulus [GO:0009410]; signal transduction in response to DNA damage [GO:0042770]; spleen development [GO:0048536]; substrate adhesion-dependent cell spreading [GO:0034446]; T cell receptor signaling pathway [GO:0050852]; thymus development [GO:0048538]; transitional one stage B cell differentiation [GO:0002333]; vascular endothelial cell response to oscillatory fluid shear stress [GO:0097706]	41696976.0	Proteasomal Stress	32
Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	cellular response to glucose starvation [GO:0042149]; cellular response to interleukin-4 [GO:0071353]; cerebellar Purkinje cell layer development [GO:0021680]; cerebellum structural organization [GO:0021589]; endoplasmic reticulum unfolded protein response [GO:0030968]; ER overload response [GO:0006983]; ERAD pathway [GO:0036503]; IRE1-mediated unfolded protein response [GO:0036498]; maintenance of protein localization in endoplasmic reticulum [GO:0035437]; negative regulation of apoptotic process [GO:0043066]; negative regulation of IRE1-mediated unfolded protein response [GO:1903895]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of cell migration [GO:0030335]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-translational protein targeting to membrane, translocation [GO:0031204]; protein folding in endoplasmic reticulum [GO:0034975]; protein refolding [GO:0042026]; regulation of ATF6-mediated unfolded protein response [GO:1903891]; regulation of IRE1-mediated unfolded protein response [GO:1903894]; regulation of PERK-mediated unfolded protein response [GO:1903897]; regulation of protein folding in endoplasmic reticulum [GO:0060904]; response to endoplasmic reticulum stress [GO:0034976]; substantia nigra development [GO:0021762]	40300357.0	Proteasomal Stress	32
E3 ubiquitin-protein ligase DTX1 (EC 2.3.2.27) (Protein deltex-1) (Deltex1) (hDTX1) (RING-type E3 ubiquitin transferase DTX1)	DTX1	cell surface receptor signaling pathway [GO:0007166]; cellular response to leukemia inhibitory factor [GO:1990830]; DNA-templated transcription [GO:0006351]; glial cell differentiation [GO:0010001]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of T cell differentiation [GO:0045581]; Notch signaling pathway [GO:0007219]; protein ubiquitination [GO:0016567]; regulation of Notch signaling pathway [GO:0008593]; T cell differentiation [GO:0030217]; transcription by RNA polymerase II [GO:0006366]	41577987.0	Proteasomal Stress	32
F-box/WD repeat-containing protein 8 (F-box and WD-40 domain-containing protein 8) (F-box only protein 29)	FBXW8 FBW6 FBW8 FBX29 FBXO29 FBXW6	cell population proliferation [GO:0008283]; cilium assembly [GO:0060271]; Golgi organization [GO:0007030]; labyrinthine layer blood vessel development [GO:0060716]; negative regulation of insulin receptor signaling pathway [GO:0046627]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	40659255.0	Proteasomal Stress	32
E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc)	MYCBP2 KIAA0916 PAM	axon guidance [GO:0007411]; branchiomotor neuron axon guidance [GO:0021785]; central nervous system projection neuron axonogenesis [GO:0021952]; circadian regulation of gene expression [GO:0032922]; negative regulation of protein catabolic process [GO:0042177]; neuromuscular process [GO:0050905]; positive regulation of protein ubiquitination [GO:0031398]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; regulation of axon guidance [GO:1902667]; regulation of cytoskeleton organization [GO:0051493]; regulation of protein localization [GO:0032880]; regulation of synaptic assembly at neuromuscular junction [GO:0008582]	42008305.0	Proteasomal Stress	31
