Molecule-Related Stress		
This table was generated by retriving a list of proteins related to Caspases, Ferroptosis, Pore-formers, Cuproptosis, Pathanatos, and Anoikis found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	PSAT1 PSA	L-serine biosynthetic process [GO:0006564]; negative regulation of ferroptosis [GO:0110076]; pyridoxine biosynthetic process [GO:0008615]
Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)	SC5D SC5DL	cholesterol biosynthetic process [GO:0006695]; cholesterol biosynthetic process via desmosterol [GO:0033489]; cholesterol biosynthetic process via lathosterol [GO:0033490]; negative regulation of ferroptosis [GO:0110076]
Zinc transporter SLC39A7 (Histidine-rich membrane protein Ke4) (Really interesting new gene 5 protein) (Solute carrier family 39 member 7) (Zrt-, Irt-like protein 7) (ZIP7)	SLC39A7 HKE4 RING5	B cell differentiation [GO:0030183]; intracellular zinc ion homeostasis [GO:0006882]; regulation of ferroptosis [GO:0110075]; skin epidermis development [GO:0098773]; zinc ion transmembrane transport [GO:0071577]
Amino acid transporter heavy chain SLC3A2 (4F2 cell-surface antigen heavy chain) (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	SLC3A2 MDU1	amino acid transport [GO:0006865]; calcium ion transport [GO:0006816]; carbohydrate metabolic process [GO:0005975]; isoleucine transport [GO:0015818]; L-alanine import across plasma membrane [GO:1904273]; L-histidine transport [GO:1902024]; L-leucine import across plasma membrane [GO:1903801]; L-leucine transport [GO:0015820]; methionine transport [GO:0015821]; phenylalanine transport [GO:0015823]; proline transport [GO:0015824]; response to exogenous dsRNA [GO:0043330]; symbiont entry into host cell [GO:0046718]; thyroid hormone transport [GO:0070327]; tryptophan transport [GO:0015827]; tyrosine transport [GO:0015828]; valine transport [GO:0015829]
Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62) (p62)	SQSTM1 ORCA OSIL	aggrephagy [GO:0035973]; apoptotic process [GO:0006915]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; brown fat cell proliferation [GO:0070342]; cell differentiation [GO:0030154]; cellular response to stress [GO:0033554]; endosomal transport [GO:0016197]; endosome organization [GO:0007032]; energy homeostasis [GO:0097009]; immune system process [GO:0002376]; intracellular protein localization [GO:0008104]; intracellular signal transduction [GO:0035556]; macroautophagy [GO:0016236]; membraneless organelle assembly [GO:0140694]; mitophagy [GO:0000423]; negative regulation of ferroptosis [GO:0110076]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of toll-like receptor 4 signaling pathway [GO:0034144]; negative regulation of transcription by RNA polymerase II [GO:0000122]; pexophagy [GO:0000425]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein catabolic process [GO:0030163]; protein import into nucleus [GO:0006606]; protein localization to perinuclear region of cytoplasm [GO:1905719]; protein targeting to vacuole involved in autophagy [GO:0071211]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of mitochondrion organization [GO:0010821]; regulation of protein complex stability [GO:0061635]; regulation of Ras protein signal transduction [GO:0046578]; response to ischemia [GO:0002931]; response to mitochondrial depolarisation [GO:0098780]; temperature homeostasis [GO:0001659]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process [GO:0006511]
Tripartite motif-containing protein 26 (EC 2.3.2.27) (Acid finger protein) (AFP) (RING finger protein 95) (Zinc finger protein 173)	TRIM26 RNF95 ZNF173	host-mediated suppression of symbiont invasion [GO:0046597]; innate immune response [GO:0045087]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K11-linked ubiquitination [GO:0070979]; suppression of viral release by host [GO:0044790]
E3 ubiquitin-protein ligase TRIM7 (EC 2.3.2.27) (Glycogenin-interacting protein) (RING finger protein 90) (Tripartite motif-containing protein 7)	TRIM7 GNIP RNF90	antiviral innate immune response [GO:0140374]; innate immune response [GO:0045087]; protein ubiquitination [GO:0016567]
Thioredoxin reductase 3 (EC 1.8.1.9) (Thioredoxin and glutathione reductase) (Thioredoxin reductase 3 intronic transcript 1) (Thioredoxin reductase 3 neighbor gene) (Thioredoxin reductase TR2)	TXNRD3 TGR TRXR3 TXNRD3IT1 TXNRD3NB	cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; spermatogenesis [GO:0007283]
Interferon-inducible protein AIM2 (Absent in melanoma 2)	AIM2	activation of innate immune response [GO:0002218]; AIM2 inflammasome complex assembly [GO:0140970]; brain development [GO:0007420]; cellular response to interferon-beta [GO:0035458]; cellular response to xenobiotic stimulus [GO:0071466]; defense response to virus [GO:0051607]; DNA damage response [GO:0006974]; immune response [GO:0006955]; innate immune response [GO:0045087]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; neuron cellular homeostasis [GO:0070050]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein maturation [GO:0051604]; pyroptosome complex assembly [GO:1904270]; pyroptotic inflammatory response [GO:0070269]; regulation of behavior [GO:0050795]; T cell homeostasis [GO:0043029]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
Ataxin-10 (Brain protein E46 homolog) (Spinocerebellar ataxia type 10 protein)	ATXN10 SCA10	cell division [GO:0051301]; cilium assembly [GO:0060271]; nervous system development [GO:0007399]; neuron projection development [GO:0031175]; regulation of cytokinesis [GO:0032465]
Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death)	BAD BBC6 BCL2L8	ADP metabolic process [GO:0046031]; apoptotic process [GO:0006915]; ATP metabolic process [GO:0046034]; cellular response to hypoxia [GO:0071456]; cellular response to lipid [GO:0071396]; cellular response to mechanical stimulus [GO:0071260]; cellular response to nicotine [GO:0071316]; cytokine-mediated signaling pathway [GO:0019221]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; glucose catabolic process [GO:0006007]; glucose homeostasis [GO:0042593]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; negative regulation of apoptotic process [GO:0043066]; pore complex assembly [GO:0046931]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of insulin secretion [GO:0032024]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress [GO:1902220]; positive regulation of mitochondrial membrane potential [GO:0010918]; positive regulation of proteolysis [GO:0045862]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of type B pancreatic cell development [GO:2000078]; regulation of mitochondrial membrane permeability [GO:0046902]; release of cytochrome c from mitochondria [GO:0001836]; type B pancreatic cell proliferation [GO:0044342]
Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4)	BAX BCL2L4	apoptotic mitochondrial changes [GO:0008637]; apoptotic process [GO:0006915]; apoptotic process involved in blood vessel morphogenesis [GO:1902262]; apoptotic process involved in embryonic digit morphogenesis [GO:1902263]; apoptotic process involved in mammary gland involution [GO:0060057]; apoptotic signaling pathway [GO:0097190]; B cell apoptotic process [GO:0001783]; B cell homeostasis [GO:0001782]; B cell homeostatic proliferation [GO:0002358]; B cell negative selection [GO:0002352]; B cell receptor apoptotic signaling pathway [GO:1990117]; blood vessel remodeling [GO:0001974]; calcium ion transport into cytosol [GO:0060402]; cellular response to unfolded protein [GO:0034620]; cellular response to UV [GO:0034644]; cellular response to virus [GO:0098586]; cerebral cortex development [GO:0021987]; development of secondary sexual characteristics [GO:0045136]; ectopic germ cell programmed cell death [GO:0035234]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; epithelial cell apoptotic process [GO:1904019]; establishment or maintenance of transmembrane electrochemical gradient [GO:0010248]; execution phase of apoptosis [GO:0097194]; extrinsic apoptotic signaling pathway [GO:0097191]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; fertilization [GO:0009566]; germ cell development [GO:0007281]; glycosphingolipid metabolic process [GO:0006687]; homeostasis of number of cells within a tissue [GO:0048873]; hypothalamus development [GO:0021854]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; kidney development [GO:0001822]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrial fusion [GO:0008053]; motor neuron apoptotic process [GO:0097049]; myeloid cell homeostasis [GO:0002262]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of endoplasmic reticulum calcium ion concentration [GO:0032471]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of mitochondrial membrane potential [GO:0010917]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein binding [GO:0032091]; neuron migration [GO:0001764]; odontogenesis of dentin-containing tooth [GO:0042475]; ovarian follicle development [GO:0001541]; positive regulation of apoptotic DNA fragmentation [GO:1902512]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic process involved in mammary gland involution [GO:0060058]; positive regulation of B cell apoptotic process [GO:0002904]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of developmental pigmentation [GO:0048087]; positive regulation of epithelial cell apoptotic process [GO:1904037]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of IRE1-mediated unfolded protein response [GO:1903896]; positive regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902110]; positive regulation of motor neuron apoptotic process [GO:2000673]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of reproductive process [GO:2000243]; post-embryonic camera-type eye morphogenesis [GO:0048597]; protein insertion into mitochondrial membrane [GO:0051204]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of mammary gland epithelial cell proliferation [GO:0033599]; regulation of mitochondrial membrane permeability involved in programmed necrotic cell death [GO:1902445]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of nitrogen utilization [GO:0006808]; release of cytochrome c from mitochondria [GO:0001836]; release of matrix enzymes from mitochondria [GO:0032976]; release of sequestered calcium ion into cytosol [GO:0051209]; response to axon injury [GO:0048678]; response to gamma radiation [GO:0010332]; response to salt stress [GO:0009651]; response to toxic substance [GO:0009636]; retina development in camera-type eye [GO:0060041]; retinal cell programmed cell death [GO:0046666]; Sertoli cell proliferation [GO:0060011]; spermatid differentiation [GO:0048515]; supramolecular fiber organization [GO:0097435]; T cell homeostatic proliferation [GO:0001777]; thymocyte apoptotic process [GO:0070242]; vagina development [GO:0060068]
